id;uuid;data;endereco;ativo
1;transmitter bi-directional;Auto Loan Account;applications Shoes;false
2;static copying;calculating cross-media XML;Assurance programming;false
3;Sausages copy;Dynamic;focus group;true
4;Beauty deposit;matrix open-source;Massachusetts;false
5;PCI payment;holistic action-items;HDD Music;true
6;Awesome azure;North Dakota;Kiribati Down-sized Forges;true
7;Towels Peru Practical Rubber Mouse;Manager Savings Account Toys;payment;true
8;synergize virtual networks;Manager Pre-emptive system engine;navigating deliver;true
9;Advanced indigo synthesizing;Tunisia;bandwidth Devolved;false
10;Group Sausages;envisioneer Refined;Azerbaijanian Manat;false
