id;quantidade;valor_do_item;valor_total;observacaoo
1;1080p Intelligent Alley;wireless protocol driver;whiteboard Grocery;Ball Garden Generic
2;Wooden Auto Loan Account;Soft;Central;Licensed Concrete Bike
3;interface Tasty Rubber Keyboard Savings Account;empower;Sleek Frozen Shirt Clothing;transition alarm
4;invoice Bond Markets Units European Composite Unit (EURCO);Florida;envisioneer hacking;Practical
5;Palladium end-to-end;Hawaii Technician;Music;Books Gorgeous Metal Chicken
6;Grocery Refined Granite Chips;e-tailers;withdrawal Implemented Credit Card Account;Handcrafted Coordinator
7;frictionless withdrawal;Baht Fiji Dollar Outdoors;Arizona Shoes;invoice attitude Outdoors
8;Greece deploy;Money Market Account back-end indigo;turquoise AI Fort;integrate Streets
9;end-to-end array;human-resource COM utilisation;Borders Representative;back-end Small copying
10;best-of-breed drive e-tailers;Chair;Division Handmade Soft Salad Handcrafted Steel Table;Chicken
