id;valor;nome;description
1;Specialist;COM Dynamic Strategist;Consultant Savings Account Antarctica (the territory South of 60 deg S)
2;override;SSL;Saint Helena Pound Customizable National
3;hard drive Home Loan Account 1080p;Cliff;withdrawal Tanzanian Shilling
4;parse withdrawal Cambridgeshire;Borders;Centralized XML
5;Peru;Technician Customer encoding;target
6;Intelligent grey overriding;Executive;Steel
7;Savings Account;networks;Computers transmitting Handmade Granite Salad
8;Incredible Steel Salad Sports;e-business connecting zero defect;calculating one-to-one
9;Won;navigating backing up;Avon Product networks
10;payment indexing;integrated;Handmade Cotton Shoes Bedfordshire
